Pre,In_p,Post,Classifier,Mean Difference,Disparate Impact,Theil Index,Average Odds Difference,Equal Opportunity Difference,Accuracy,Precision,Recall,Dataset,Sens_Attr,Valid,Time,Failed,Orig Mean Difference,Orig Disparate Impact,AUC,Orig Theil,Orig Av Odds,Orig Eq Opp Diff,Score,Rank,Ovr_Rank
rw1,-,roc2,Logistic Regression,0.0336097914158342,1.101507832769872,0.10386629725970906,0.10439485976131649,0.12183733463988244,0.7925696594427245,0.5600921962462957,0.7590361445783133,Adult,Race,Valid,{21.88},,-0.10411148351827143,0.6031419197588673,0.8718843230238805,0.13570907687782385,0.027484457792265368,0.05439000489955903,2,58.0,36.0
di1,-,eop2,Logistic Regression,-0.09643692404569465,0.6063561261436813,0.14357216619722785,-0.008465860144213404,-0.007285307285307296,0.8143520566121185,0.6455958549222798,0.5560017849174476,Adult,Sex,Valid,{5.39},,-0.19225202893340865,0.3813350053052956,0.8815882210141298,0.13570907687782385,-0.09005812493043372,-0.097028897028897,3,59.0,9.0
rw1,-,cpp2,Random Forest,-0.06585207119846409,0.6738834411686502,0.13953037943730986,0.018594852245343216,0.07163890249877514,0.8319327731092437,0.7068273092369478,0.5497545738509594,Adult,Race,Valid,{3.63},,-0.10411148351827143,0.6031419197588673,0.8632289951613992,0.11737751710500567,-0.026812019920930834,-0.005372366487016111,2,60.0,62.0
-,egr_fp1,cpp2,-,-0.13687559686756795,0.41784798591010613,0.13126281366317627,-0.03035647712831882,-0.014082214082214106,0.8445378151260504,0.7425915165601394,0.570281124497992,Adult,Sex,Valid,{64.47},,-0.19225202893340865,0.3813350053052956,0.7746450876103101,0.13570907687782385,-0.09005812493043372,-0.097028897028897,4,61.0,26.0
-,egr_fp1,eop2,-,-0.05640721095961734,0.7250325180038704,0.14129046860407823,0.015499559161519523,0.05065899069083779,0.8269570986289253,0.6894618834080718,0.5488621151271754,Adult,Race,Valid,{56.29},,-0.10411148351827143,0.6031419197588673,0.7781978027254296,0.13570907687782385,0.027484457792265368,0.05439000489955903,3,61.0,39.0
rw1,-,roc2,Naive Bayes,-0.0278819447297024,0.9210898148692183,0.10689273046803187,0.11278967889868516,0.1597883597883597,0.781733746130031,0.5428846771602955,0.7541276215975011,Adult,Sex,Valid,{19.15},,-0.19225202893340865,0.3813350053052956,0.8895693181532702,0.09777133936127072,-0.19685032583979642,-0.1894586894586895,3,63.0,45.0
di1,-,-,Random Forest,-0.1155750707754385,0.5421720719791694,0.12011250357302149,-0.05409865307512135,-0.04527192552670267,0.8337019018133569,0.6724379971923257,0.6412315930388219,Adult,Race,Valid,{7.2},,-0.10411148351827143,0.6031419197588673,0.8834125270743417,0.11737751710500567,-0.026812019920930834,-0.005372366487016111,1,64.0,42.0
-,pr1,-,-,-0.19328695094567358,0.28925560117800075,0.12240435561011233,-0.10222042242736579,-0.11343101343101336,0.8465280849181778,0.7260201377848436,0.6113342257920571,Adult,Sex,Valid,{43.03},,-0.19225202893340865,0.3813350053052956,0.8993101450176553,0.13570907687782385,-0.09005812493043372,-0.097028897028897,2,65.0,52.0
rw1,pr2,-,-,-0.19328695094567358,0.28925560117800075,0.12240435561011233,-0.10222042242736579,-0.11343101343101336,0.8465280849181778,0.7260201377848436,0.6113342257920571,Adult,Sex,Valid,{42.27},,-0.19225202893340865,0.3813350053052956,0.8993101450176553,0.13570907687782385,-0.09005812493043372,-0.097028897028897,2,65.0,52.0
rw1,-,roc2,Random Forest,-0.028101207867894162,0.9185747754871213,0.10768988946031495,0.11904694761834879,0.17501017501017502,0.7864882795223352,0.5510204081632653,0.7469879518072289,Adult,Sex,Valid,{23.76},,-0.19225202893340865,0.3813350053052956,0.8879584845990525,0.11855037810019291,-0.09617669609317178,-0.09808709808709815,2,67.0,15.0
-,egr_fp1,roc2,-,-0.04699003335242127,0.8407836307245536,0.12807361783562418,0.04178353528884607,0.03024013024013028,0.7944493586908448,0.5754940711462451,0.6497099509147702,Adult,Sex,Valid,{86.43},,-0.19225202893340865,0.3813350053052956,0.7781978027254296,0.13570907687782385,-0.09005812493043372,-0.097028897028897,4,68.0,20.0
rw1,-,eop2,Random Forest,-0.09736848707990572,0.6518547099235823,0.12722515698026415,-0.02467075026955458,-0.06080586080586081,0.816452896948253,0.6296296296296297,0.6296296296296297,Adult,Sex,Valid,{3.13},,-0.19225202893340865,0.3813350053052956,0.8872171850057226,0.11855037810019291,-0.09617669609317178,-0.09808709808709815,3,68.0,1.0
rw1,egr_fp2,roc3,-,-0.04699003335242127,0.8407836307245536,0.12807361783562418,0.04178353528884607,0.03024013024013028,0.7944493586908448,0.5754940711462451,0.6497099509147702,Adult,Sex,Valid,{76.27},,-0.19225202893340865,0.3813350053052956,0.7781978027254296,0.13570907687782385,-0.09005812493043372,-0.097028897028897,4,68.0,20.0
-,-,eop1,Random Forest,-0.10054286222436956,0.6499704132520803,0.12583739085029816,-0.025060315484371022,-0.05787545787545789,0.8143520566121185,0.6221739130434782,0.6385542168674698,Adult,Sex,Valid,{3.13},,-0.19225202893340865,0.3813350053052956,0.8886407504681865,0.11855037810019291,-0.09617669609317178,-0.09808709808709815,3,71.0,3.0
di1,pr2,-,-,-0.1506203019752042,0.42893472253065856,0.11032694667343614,-0.1117695747587319,-0.14240813326800583,0.843874391862008,0.6888382687927107,0.6746987951807228,Adult,Race,Valid,{57.54},,-0.10411148351827143,0.6031419197588673,0.8985829807216192,0.13570907687782385,0.027484457792265368,0.05439000489955903,2,72.0,65.0
-,egr_fp1,cpp2,-,-0.04414963717418893,0.7539511624533024,0.14535456215557663,0.03864680320823197,0.09191572758451738,0.8348076072534277,0.7383535417996171,0.5162873717090585,Adult,Race,Valid,{56.57},,-0.10411148351827143,0.6031419197588673,0.7769971879613444,0.13570907687782385,0.027484457792265368,0.05439000489955903,1,73.0,26.0
di1,-,eop2,Random Forest,-0.10846131454412919,0.6312679066196794,0.126608361289656,-0.02404350406468575,-0.04204314204314208,0.8104820875718709,0.612654980761009,0.6394466755912539,Adult,Sex,Valid,{6.76},,-0.19225202893340865,0.3813350053052956,0.8874881497997806,0.11855037810019291,-0.09617669609317178,-0.09808709808709815,3,73.0,7.0
rw1,egr_fp2,-,-,-0.11874769773704898,0.5001913511164485,0.13448419493586383,-0.02416326286515642,-0.022629222629222623,0.8354710305174702,0.7095158597662772,0.5689424364123159,Adult,Sex,Valid,{56.92},,-0.19225202893340865,0.3813350053052956,0.7781978027254296,0.13570907687782385,-0.09005812493043372,-0.097028897028897,4,75.0,5.0
-,-,roc1,Random Forest,-0.03053230872871565,0.9184105880105234,0.10363564375807054,0.11080265288625904,0.15856735856735849,0.7721141088014153,0.5273224043715847,0.7751004016064257,Adult,Sex,Valid,{23.51},,-0.19225202893340865,0.3813350053052956,0.8873081625340107,0.11855037810019291,-0.09617669609317178,-0.09808709808709815,2,76.0,8.0
