,Pre,In_p,Post,Classifier,Mean Difference,Disparate Impact,Theil Index,Average Odds Difference,Equal Opportunity Difference,Accuracy,Precision,Recall,Dataset,Sens_Attr,Valid,Time,AUC,Orig Disparate Impact,Orig Mean Difference,Score,Rank,Ovr_Rank,Orig Theil,Orig Av Odds,Orig Eq Opp Diff,Orig AUC
525,di,mfc_sr,eop,-,-0.0008103727714748784,0.5,0.7677123905892422,-0.0005110630110630108,-0.001022126022126022,0.3171258779038358,0.3166413555355647,0.3171258779038358,Compas,Race,Fail,{390.89},0.32397887910895945,0.8148148148148148,-0.11345218800648305,3,121.0,49.0,0.1317133019031189,0.02768584838728159,0.07236326358318751,0.7521652371824058
526,-,pr,eop,-,0.0197074362744111,1.0851950524415657,0.07021261208104151,0.19877150606822547,0.2560335781741868,0.8215785982754809,0.8136954945974899,0.8215785982754809,Adult,Sex,Valid,{130.83},0.7351486985182555,0.4102919522063745,-0.18335783672017134,3,122.0,51.0,0.1317133019031189,0.02768584838728159,0.07236326358318751,0.7521652371824058
527,di,-,eop,Naive Bayes,-0.29869861598843217,0.5814155449413808,0.19182182067310552,-0.022058823529411745,-0.75,0.7266666666666667,0.7525873996007242,0.7266666666666667,German,Sex,Fail,{0.23},0.7190275829827022,0.8944854537559705,-0.07529436066928319,2,123.0,37.0,0.22816134830365475,-0.11771200005425915,-0.08537414965986385,0.7214430419198992
528,-,mfc_fdr,cpp,-,-0.14198880415511508,0.4736532241575954,0.029846263408626082,0.06985294117647056,0.13970588235294112,0.8260004421843908,0.8165431736012327,0.8260004421843908,Adult,Sex,Valid,{67.0},0.7154472997605348,0.4074810825473431,-0.18579644578884366,3,124.0,24.0,0.1317133019031189,0.02768584838728159,0.07236326358318751,0.7521652371824058
529,di,-,eop,Naive Bayes,0.08875948548299006,1.373646827164256,0.07231968247015348,0.2330303794442197,0.2295430393198725,0.8087552509396418,0.8271697534479886,0.8087552509396418,Adult,Sex,Valid,{5.65},0.7824812132632335,0.3814418466548813,-0.19071534151302644,3,126.0,37.0,0.0942743222984947,-0.2162320245245655,-0.2271238801359277,0.806527198874652
530,di,mfc_fdr,eop,-,-0.01677762567749547,0.9227012714254365,0.08900482281037117,0.21582051134289945,0.3412935323383085,0.8246738890117179,0.8163034232563008,0.8246738890117179,Adult,Sex,Valid,{82.85},0.7213365745263487,0.36673387982017946,-0.208666377305154,3,126.0,48.0,0.1317133019031189,0.02768584838728159,0.07236326358318751,0.7521652371824058
531,di,mfc_sr,eop,-,-0.01677762567749547,0.9227012714254365,0.08900482281037117,0.21582051134289945,0.3412935323383085,0.8246738890117179,0.8163034232563008,0.8246738890117179,Adult,Sex,Valid,{51.3},0.7213365745263487,0.36673387982017946,-0.208666377305154,3,126.0,49.0,0.1317133019031189,0.02768584838728159,0.07236326358318751,0.7521652371824058
532,rw,pr,eop,-,0.12225705329153608,1.8965517241379315,1.2072888297497704,0.017687961755758354,0.02768361581920904,0.5933333333333334,0.5557466063348416,0.5933333333333334,German,Age,Fail,{8.72},0.3012311048776687,0.7071887784921099,-0.2141635793673411,3,127.0,50.0,0.1317133019031189,0.02768584838728159,0.07236326358318751,0.7521652371824058
533,-,pr,eop,-,0.12225705329153608,1.8965517241379315,1.2072888297497704,0.017687961755758354,0.02768361581920904,0.5933333333333334,0.5557466063348416,0.5933333333333334,German,Age,Fail,{12.32},0.3012311048776687,0.7071887784921099,-0.2141635793673411,3,127.0,51.0,0.1317133019031189,0.02768584838728159,0.07236326358318751,0.7521652371824058
534,di,pr,eop,-,-0.0020274832563826487,0.24983119513842,0.7677123905892421,-0.0016267324406859288,-0.0032534648813718576,0.36142625607779577,0.36549344513493376,0.36142625607779577,Compas,Sex,Fail,{110.06},0.36450265185042574,0.8789515683506229,-0.07197474314287278,3,127.0,55.0,0.1317133019031189,0.02768584838728159,0.07236326358318751,0.7521652371824058
535,di,pr,eop,-,0.12225705329153608,1.8965517241379315,1.2072888297497704,0.017687961755758354,0.02768361581920904,0.6,0.5447368421052632,0.6,German,Age,Fail,{11.05},0.3232819074333801,0.7071887784921099,-0.2141635793673411,3,127.0,55.0,0.1317133019031189,0.02768584838728159,0.07236326358318751,0.7521652371824058
536,di,pr,cpp,-,-0.05179004662442878,0.6942684288244553,0.09843244897350556,0.2252922422954304,0.4505844845908608,0.826884810966173,0.8194683196383039,0.826884810966173,Adult,Sex,Valid,{68.32},0.7401189585283016,0.3814418466548813,-0.19071534151302644,3,129.0,56.0,0.1317133019031189,0.02768584838728159,0.07236326358318751,0.7521652371824058
537,-,pr,cpp,-,-0.11717570645409042,0.5618257107310641,0.0011060724498946496,-0.025510204081632626,-0.05102040816326525,0.8191465841255804,0.8092128179963102,0.8191465841255804,Adult,Race,Valid,{143.51},0.7207209237155611,0.5920313941037021,-0.10909816202759606,3,131.0,58.0,0.1317133019031189,0.02768584838728159,0.07236326358318751,0.7521652371824058
538,-,pr,cpp,-,-0.4773801485482782,0.5226198514517219,0.02599909501524309,-0.5,0.0,0.3365748244192329,0.3386076446533055,0.3365748244192329,Compas,Sex,Fail,{69.74},0.34232876840975845,0.8789515683506229,-0.07197474314287278,2,131.0,58.0,0.1317133019031189,0.02768584838728159,0.07236326358318751,0.7521652371824058
