Pre,In_p,Post,Classifier,Mean Difference,Disparate Impact,Theil Index,Average Odds Difference,Equal Opportunity Difference,Accuracy,Precision,Recall,Dataset,Sens_Attr,Valid,Time,Failed,AUC,Orig Disparate Impact,Orig Mean Difference,Orig Theil,Orig Av Odds,Orig Eq Opp Diff,Score,Rank,Ovr_Rank
-,pr1,eop2,-,-0.10791165897426103,0.621322572708036,0.02574558681579238,0.0783003026726876,0.08472803347280333,0.9616320212295445,0.9617790645111685,0.9616320212295445,Adult,Sex,Valid,{111.78},,1.0,0.3639989002863867,-0.19801890614760276,0.13235324548201044,-0.07659947753750228,-0.07869828693517822,2,66.0,34.0
rw1,pr2,eop3,-,-0.10791165897426103,0.621322572708036,0.025745586815792382,0.0783003026726876,0.08472803347280333,0.9616320212295445,0.9617790645111685,0.9616320212295445,Adult,Sex,Valid,{172.12},,1.0,0.3639989002863867,-0.19801890614760276,0.13235324548201044,-0.07659947753750228,-0.07869828693517822,2,67.0,33.0
-,-,eop1,Naive Bayes,0.003202051143629314,1.0125326934818533,0.05542827855765798,0.17167023469324721,0.17939330543933052,0.9154135338345865,0.9165568260355293,0.9154135338345865,Adult,Sex,Valid,{0.08},,1.0,0.3639989002863867,-0.19801890614760276,0.09476150603363609,-0.1932084249071155,-0.18495408935407165,4,68.0,29.0
rw1,-,eop2,Naive Bayes,0.003202051143629314,1.0125326934818533,0.05542827855765799,0.17167023469324721,0.17939330543933052,0.9154135338345865,0.9165568260355293,0.9154135338345865,Adult,Sex,Valid,{0.11},,1.0,0.3639989002863867,-0.19801890614760276,0.09476150603363609,-0.1932084249071155,-0.18495408935407165,4,69.0,30.0
-,-,-,Logistic Regression,-0.020036207996354832,0.9004411236378845,0.13235324548201044,0.05349972896322445,0.08265442272976997,0.8384564352056613,0.8310086274589064,0.8384564352056613,Adult,Race,Valid,{2.2},,0.8794435914071298,0.5899387783582407,-0.10747045153345433,0.13235324548201044,0.05349972896322445,0.08265442272976997,1,70.0,40.0
rw1,-,-,Logistic Regression,-0.020036207996354832,0.9004411236378845,0.13235324548201044,0.05349972896322445,0.08265442272976997,0.8384564352056613,0.8310086274589064,0.8384564352056613,Adult,Race,Valid,{0.64},,0.8794435914071298,0.5899387783582407,-0.10747045153345433,0.13235324548201044,0.05349972896322445,0.08265442272976997,1,70.0,41.0
di1,-,-,Logistic Regression,-0.008799473916492606,0.9548746403013614,0.13356528985051833,0.06570455352814894,0.09678989090338275,0.8394515701017249,0.8317939802353649,0.8394515701017249,Adult,Race,Valid,{10.01},,0.8780002824435738,0.5899387783582407,-0.10747045153345433,0.13235324548201044,0.05349972896322445,0.08265442272976997,1,72.0,42.0
di1,pr2,-,-,-0.054985394991456854,0.7075030650420534,0.14817986756178542,0.017183760694586176,0.053567223922769025,0.8269570986289253,0.8171187219281887,0.8269570986289253,Adult,Race,Valid,{127.28},,0.8624434202749226,0.5899387783582407,-0.10747045153345433,0.13235324548201044,0.05349972896322445,0.08265442272976997,3,73.0,48.0
-,-,-,Random Forest,-0.09794637243137533,0.5877630132933902,0.12157310419134698,-0.04246530535910843,-0.045122046935091364,0.8385670057496682,0.8341862258459971,0.8385670057496682,Adult,Race,Valid,{3.43},,0.8872970117194406,0.5899387783582407,-0.10747045153345433,0.12157310419134698,-0.04246530535910843,-0.045122046935091364,2,74.0,32.0
rw1,-,-,Random Forest,-0.09934469611797145,0.58719567447747,0.11975463460121812,-0.043869759155704964,-0.047531590926928824,0.8394515701017249,0.8355628045385199,0.8394515701017249,Adult,Race,Valid,{4.1},,0.8864121945832885,0.5899387783582407,-0.10747045153345433,0.12157310419134698,-0.04246530535910843,-0.045122046935091364,3,74.0,31.0
-,pr1,-,-,-0.08649559623451256,0.5998749439086649,0.13971403944323318,-0.024119935084905838,-0.00633388274075819,0.8248562582927909,0.8168651555091792,0.8248562582927909,Adult,Race,Valid,{140.82},,0.8648265461276731,0.5899387783582407,-0.10747045153345433,0.13235324548201044,0.05349972896322445,0.08265442272976997,3,76.0,46.0
rw1,pr2,-,-,-0.08649559623451256,0.5998749439086649,0.13971403944323318,-0.024119935084905838,-0.00633388274075819,0.8248562582927909,0.8168651555091792,0.8248562582927909,Adult,Race,Valid,{125.6},,0.8648265461276731,0.5899387783582407,-0.10747045153345433,0.13235324548201044,0.05349972896322445,0.08265442272976997,3,76.0,47.0
di1,pr2,cpp3,-,-0.12669501753011375,0.47216139575818955,0.04964191999931556,0.1145397489539749,0.2290794979079498,0.9515701017249005,0.9544995721633058,0.9515701017249005,Adult,Sex,Valid,{140.58},,0.9859655191888137,0.3639989002863867,-0.19801890614760276,0.13235324548201044,-0.07659947753750228,-0.07869828693517822,2,78.0,38.0
di1,-,-,Random Forest,-0.11086607758968434,0.5730349143513188,0.11555958726900216,-0.05216391134624247,-0.05279020485048269,0.8350287483414418,0.8343969119580336,0.8350287483414418,Adult,Race,Valid,{10.36},,0.8864096692517535,0.5899387783582407,-0.10747045153345433,0.12157310419134698,-0.04246530535910843,-0.045122046935091364,2,79.0,39.0
